2025-04-05 15:30:57.465820 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.470304 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.481690 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.507320 | 00:e0:20:5c:07:c5 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.511615 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.527090 | 50:8a:06:fc:81:4d | N/A | -54 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.547026 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.572698 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.584097 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.593352 | a0:de:0f:60:67:8d | N/A | -81 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.613994 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.614834 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.675084 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.686510 | 56:4b:54:3b:84:8f | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.688708 | 52:9f:14:d9:81:25 | N/A | -65 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.689016 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.716416 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.734814 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.735087 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.739120 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.777482 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.788909 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.797924 | a0:de:0f:60:67:8d | N/A | -81 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.811336 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.818792 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.822375 | dc:4f:22:fa:54:46 | N/A | -68 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.879895 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.891319 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.913754 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.921241 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.956818 | 1e:98:11:c5:8f:2f | N/A | -71 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.982274 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.993693 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.003152 | a0:de:0f:60:67:8d | N/A | -44 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.023450 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.074106 | dc:4f:22:fa:54:46 | N/A | -70 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.084689 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.096123 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.105375 | a0:de:0f:60:67:8d | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.126261 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.147588 | 00:e0:20:5c:07:c5 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.182511 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.187080 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.198498 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.228551 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.231985 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.260034 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.260756 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.268038 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.289488 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.300905 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.330804 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.360711 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.365901 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.391909 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
