timestamp,mac,rssi,origem
2025-04-05 15:30:57.465820,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.470304,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.481690,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.507320,00:e0:20:5c:07:c5,-85.0,-85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.511615,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.593352,a0:de:0f:60:67:8d,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.688708,52:9f:14:d9:81:25,-65.0,-65 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.734814,54:4b:54:24:74:37,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.822375,dc:4f:22:fa:54:46,-68.0,-68 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:57.956818,1e:98:11:c5:8f:2f,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.003152,a0:de:0f:60:67:8d,-44.0,-44 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.023450,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.074106,dc:4f:22:fa:54:46,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.084689,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.096123,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.147588,00:e0:20:5c:07:c5,-85.0,-85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.182511,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.231985,54:4b:54:24:74:37,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.006304,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.017745,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.047294,a0:de:0f:60:67:88,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.052894,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.087016,c0:51:5c:67:a7:2c,-86.0,-86 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.114212,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.129090,a0:de:0f:60:67:8d,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.204736,52:9f:14:d9:81:25,-61.0,-61 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.616234,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.013178,50:8a:06:fc:81:4d,-58.0,-58 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.019804,dc:4f:22:fa:54:46,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.030300,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.041716,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.065088,30:cc:21:14:be:83,-19.0,-19 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.160873,52:9f:14:d9:81:25,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.734617,54:4b:54:24:74:37,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.869914,a0:de:0f:60:67:8d,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.003090,54:4b:54:24:74:37,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.049746,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.054295,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.063348,52:9f:14:d9:81:25,-65.0,-65 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.065698,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.095556,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.095822,a0:de:0f:60:67:88,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.586747,a0:de:0f:60:67:8d,-80.0,-80 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.816123,dc:4f:22:fa:54:46,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.839118,32:fa:bb:95:5e:e2,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:01.861534,22:55:7e:84:10:17,-65.0,-65 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.003878,54:4b:54:24:74:37,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.017328,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.018247,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.037905,52:9f:14:d9:81:25,-64.0,-64 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.050232,22:55:7e:84:10:17,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.078305,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.089740,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.213891,c2:17:90:83:13:2b,-72.0,-72 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.657793,f0:a8:82:56:94:ae,-79.0,-79 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:02.736204,dc:4f:22:fa:54:46,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:03.000090,22:55:7e:84:10:17,-66.0,-66 dBm | Origem: Cliente desconhecido
