timestamp,mac,rssi,origem
2025-04-05 15:31:22.176000,4A:E9:21:8B:E1:CE,-64.1,-64.1 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.179000,56:4b:54:3b:84:8f,-54.0,-54.0 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.182000,56:4b:54:3b:84:8f,-71.4,-71.4 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.185000,50:8a:06:fc:81:4d,-65.2,-65.2 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.188000,22:55:7E:84:10:17,0.8,0.8 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.191000,50:8a:06:fc:81:4d,-60.9,-60.9 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.194000,50:8a:06:fc:81:4d,-59.5,-59.5 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.197000,56:4b:54:3b:84:8f,-66.0,-66.0 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.200000,56:4b:54:3b:84:8f,-55.6,-55.6 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.203000,4A:E9:21:8B:E1:CE,-25.7,-25.7 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.206000,50:8a:06:fc:81:4d,-43.9,-43.9 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.209000,22:55:7E:84:10:17,-44.9,-44.9 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.212000,52:9F:14:D9:81:25,-74.5,-74.5 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.215000,50:8a:06:fc:81:4d,-47.7,-47.7 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.218000,52:9F:14:D9:81:25,-72.2,-72.2 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.221000,30:cc:21:14:be:83,-74.0,-74.0 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.224000,22:55:7E:84:10:17,-75.1,-75.1 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.227000,30:cc:21:14:be:83,-77.4,-77.4 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.230000,50:8a:06:fc:81:4d,-77.2,-77.2 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.233000,22:55:7E:84:10:17,-69.6,-69.6 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.236000,4A:E9:21:8B:E1:CE,-76.9,-76.9 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.239000,30:cc:21:14:be:83,-34.3,-34.3 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.242000,50:8a:06:fc:81:4d,-46.9,-46.9 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:22.245000,52:9F:14:D9:81:25,-71.9,-71.9 dBm | Origem: Cliente desconhecido
